Site,Grind_type,TC_m,TC_FTIR,IC_m,IC_FTIR,OC_m,OC_FTIR,Fizz
A,<250,3.93,4.62,0.623,0.67,3.307,3.99,P
A,<250,4.61,4.43,0.696,0.74,3.914,3.65,P
A,<250,4.52,4.51,0.694,0.68,3.826,3.87,P
A,<250,4,4.48,0.664,0.59,3.336,3.84,P
A,<250,4.24,4.71,0.734,0.65,3.506,4.1,P
B,<250,3.38,2.69,0.506,0.57,2.874,2.24,P
B,<250,2.75,2.69,0.622,0.62,2.128,2.15,P
B,<250,3.5,2.99,0.396,0.59,3.104,2.59,P
B,<250,2.73,2.38,0.669,0.6,2.061,1.84,P
B,<250,3.21,2.85,0.606,0.57,2.604,2.36,P
C,<250,1.37,2.11,0,0,1.37,1.99, N
C,<250,1.35,1.97,0,0,1.35,1.88, N
C,<250,1.37,2.06,0,0,1.37,1.95, N
C,<250,1.27,1.97,0,0,1.27,1.8, N
C,<250,1.17,1.77,0,0,1.17,1.7, N
D,<250,1.63,1.8,0.847,1.12,0.783,0.63,P
D,<250,1.69,1.89,0.871,1.01,0.819,0.62,P
D,<250,1.69,1.93,0.838,1.13,0.852,0.71,P
D,<250,1.78,2.02,0.877,1.13,0.903,0.8,P
D,<250,1.73,1.92,0.845,1.11,0.885,0.7,P
E,<250,1.06,0.57,0,0,1.06,0.85, N
E,<250,1.18,0.91,0,0,1.18,1.08, N
E,<250,1.09,0.53,0,0,1.09,0.83, N
E,<250,1.08,0.7,0,0,1.08,0.96, N
E,<250,1.11,0.8,0,0,1.11,0.96, N
F,<250,1.06,1.17,0,0,1.06,1.29, N
F,<250,1.01,1.2,0,0,1.01,1.28, N
F,<250,1.13,1.38,0,0,1.13,1.46, N
F,<250,1.04,1.27,0,0,1.04,1.32, N
F,<250,1.09,1.24,0,0,1.09,1.36, N
G,<250,1.37,1.85,0,0,1.37,2.15, N
G,<250,1.33,1.89,0,0,1.33,2.17, N
G,<250,1.38,2.03,0,0,1.38,2.34, N
G,<250,1.3,1.97,0,0,1.3,2.3, N
G,<250,1.52,2.19,0,0,1.52,2.51, N
H,<250,7.27,7.75,4.649,4.34,2.621,3.15,P
H,<250,7.17,7.52,5.403,4.18,1.767,3.36,P
H,<250,7.18,7.72,4.465,4.13,2.715,3.18,P
H,<250,7.19,7.68,5.236,4.18,1.954,3.34,P
H,<250,7.22,7.64,4.563,4.32,2.657,3.22,P
I,<250,1.55,1.75,0,0,1.55,1.62,N
I,<250,1.43,1.67,0,0,1.43,1.58,N
I,<250,1.37,1.61,0,0,1.37,1.5,N
I,<250,1.41,1.61,0,0,1.41,1.55,N
I,<250,1.27,1.52,0,0,1.27,1.47,N
J,<250,3.13,3.3,0,0,3.13,3.14,N
J,<250,3.53,3.59,0,0,3.53,3.4,N
J,<250,3.35,3.42,0,0,3.35,3.19,N
J,<250,3.31,3.49,0,0,3.31,3.33,N
J,<250,3.16,3.19,0,0,3.16,3.09,N
K,<250,2.23,3.09,0.168,0.02,2.062,2.94,P
K,<250,2.62,3.24,0.16,0.09,2.46,3.02,P
K,<250,2.51,3.03,0.176,0.03,2.334,2.86,P
K,<250,2.43,2.97,0.169,0.06,2.261,2.8,P
K,<250,2.73,2.98,0.176,0,2.554,2.84,P
L,<250,2.83,4.05,0.469,0.67,2.361,3.22,P
L,<250,2.62,3.99,0.348,0.6,2.272,3.19,P
L,<250,3.33,4,0.39,0.65,2.94,3.14,P
L,<250,3.2,3.72,0.576,0.55,2.624,2.99,P
L,<250,2.93,3.93,0.367,0.59,2.563,3.24,P
A,<180,3.93,4.71,0.623,0.79,3.307,3.83,P
A,<180 ,4.61,4.67,0.696,0.86,3.914,3.66,P
A,<180,4.52,4.66,0.694,0.82,3.826,3.75,P
A,<180,4,4.76,0.664,0.83,3.336,3.81,P
A,<180,4.24,4.46,0.734,0.85,3.506,3.57,P
B,<180,3.38,3,0.506,0.69,2.874,2.34,P
B,<180,2.75,2.64,0.622,0.69,2.128,1.92,P
B,<180,3.5,3.1,0.396,0.61,3.104,2.58,P
B,<180,2.73,2.46,0.669,0.7,2.061,1.78,P
B,<180,3.21,2.82,0.606,0.66,2.604,2.2,P
C,<180,1.37,1.41,0,0,1.37,1.45, N
C,<180,1.35,1.5,0,0,1.35,1.57, N
C,<180,1.37,1.24,0,0,1.37,1.29, N
C,<180,1.27,1.32,0,0,1.27,1.34, N
C,<180,1.17,1.17,0,0,1.17,1.17, N
D,<180,1.63,1.76,0.847,0.93,0.783,0.46,P
D,<180,1.69,1.88,0.871,0.95,0.819,0.45,P
D,<180,1.69,1.62,0.838,0.79,0.852,0.43,P
D,<180,1.78,1.87,0.877,0.97,0.903,0.52,P
D,<180,1.73,1.77,0.845,0.92,0.885,0.52,P
E,<180,1.06,0.72,0,0,1.06,0.66, N
E,<180,1.18,0.77,0,0,1.18,0.7, N
E,<180,1.09,0.66,0,0,1.09,0.63, N
E,<180,1.08,0.76,0,0,1.08,0.63, N
E,<180,1.11,0.86,0,0,1.11,0.73, N
F,<180,1.06,0.77,0,0,1.06,0.6, N
F,<180,1.01,0.79,0,0,1.01,0.62, N
F,<180,1.13,0.69,0,0,1.13,0.56, N
F,<180,1.04,0.62,0,0,1.04,0.48, N
F,<180,1.09,0.76,0,0,1.09,0.62, N
G,<180,1.37,1.22,0,0,1.37,1.32, N
G,<180,1.33,1.16,0,0,1.33,1.26, N
G,<180,1.38,1.17,0,0,1.38,1.29, N
G,<180,1.3,1.17,0,0,1.3,1.24, N
G,<180,1.52,1.31,0,0,1.52,1.43, N
H,<180,7.27,7.73,4.649,4.57,2.621,2.81,P
H,<180,7.17,7.37,5.403,4.61,1.767,2.59,P
H,<180,7.18,7.57,4.465,4.62,2.715,2.56,P
H,<180,7.19,7.47,5.236,4.65,1.954,2.76,P
H,<180,7.22,7.41,4.563,4.49,2.657,2.68,P
I,<180,1.55,1.69,0,0,1.55,1.64,N
I,<180,1.43,1.63,0,0,1.43,1.55,N
I,<180,1.37,1.59,0,0,1.37,1.58,N
I,<180,1.41,1.43,0,0,1.41,1.42,N
I,<180,1.27,1.37,0,0,1.27,1.37,N
J,<180,3.13,3.42,0,0,3.13,3.1,N
J,<180,3.53,3.74,0,0,3.53,3.42,N
J,<180,3.35,3.6,0,0,3.35,3.31,N
J,<180,3.31,3.59,0,0,3.31,3.31,N
J,<180,3.16,3.5,0,0,3.16,3.26,N
K,<180,2.23,2.25,0.168,0.16,2.062,2.03,P
K,<180,2.62,2.87,0.16,0.18,2.46,2.56,P
K,<180,2.51,2.96,0.176,0.1,2.334,2.65,P
K,<180,2.43,2.82,0.169,0.17,2.261,2.51,P
K,<180,2.73,2.99,0.176,0.23,2.554,2.63,P
L,<180,2.83,4.14,0.469,0.67,2.361,3.12,P
L,<180,2.62,4.01,0.348,0.82,2.272,3.06,P
L,<180,3.33,3.68,0.39,0.73,2.94,2.88,P
L,<180,3.2,3.95,0.576,0.77,2.624,3.09,P
L,<180,2.93,3.55,0.367,0.72,2.563,2.72,P
A,<125,3.93,4.67,0.623,0.78,3.307,4.03,P
A,<125,4.61,4.39,0.696,0.75,3.914,3.74,P
A,<125,4.52,4.53,0.694,0.77,3.826,3.84,P
A,<125,4,4.39,0.664,0.84,3.336,3.72,P
A,<125,4.24,4.43,0.734,0.79,3.506,3.8,P
B,<125,3.38,3.49,0.506,0.64,2.874,2.75,P
B,<125,2.75,2.77,0.622,0.68,2.128,2.13,P
B,<125,3.5,3.4,0.396,0.61,3.104,2.81,P
B,<125,2.73,2.47,0.669,0.68,2.061,1.76,P
B,<125,3.21,3.26,0.606,0.6,2.604,2.59,P
C,<125,1.37,1.36,0,0,1.37,1.26, N
C,<125,1.35,1.39,0,0,1.35,1.21, N
C,<125,1.37,1.47,0,0,1.37,1.39, N
C,<125,1.27,1.34,0,0,1.27,1.21, N
C,<125,1.17,1.34,0,0,1.17,1.14, N
D,<125,1.63,1.79,0.847,0.9,0.783,0.64,P
D,<125,1.69,1.72,0.871,0.92,0.819,0.63,P
D,<125,1.69,1.76,0.838,0.9,0.852,0.66,P
D,<125,1.78,1.71,0.877,0.92,0.903,0.52,P
D,<125,1.73,1.87,0.845,0.97,0.885,0.78,P
E,<125,1.06,0.86,0,0,1.06,0.92, N
E,<125,1.18,0.94,0,0,1.18,0.9, N
E,<125,1.09,0.73,0,0,1.09,0.76, N
E,<125,1.08,0.85,0,0,1.08,0.82, N
E,<125,1.11,0.95,0,0,1.11,0.95, N
F,<125,1.06,1.11,0,0,1.06,1.07, N
F,<125,1.01,1.03,0,0,1.01,1, N
F,<125,1.13,1.08,0,0,1.13,0.96, N
F,<125,1.04,0.99,0,0,1.04,0.94, N
F,<125,1.09,1.12,0,0,1.09,1.07, N
G,<125,1.37,1.3,0,0,1.37,1.46, N
G,<125,1.33,1.44,0,0,1.33,1.67, N
G,<125,1.38,1.4,0,0,1.38,1.48, N
G,<125,1.3,1.49,0,0,1.3,1.62, N
G,<125,1.52,1.53,0,0,1.52,1.65, N
H,<125,7.27,7.63,4.649,4.5,2.621,2.67,P
H,<125,7.17,7.62,5.403,4.61,1.767,2.92,P
H,<125,7.18,7.36,4.465,4.54,2.715,2.88,P
H,<125,7.19,7.72,5.236,4.6,1.954,2.85,P
H,<125,7.22,7.59,4.563,4.44,2.657,2.93,P
I,<125,1.55,1.62,0,0,1.55,1.56,N
I,<125,1.43,1.58,0,0,1.43,1.53,N
I,<125,1.37,1.5,0,0,1.37,1.46,N
I,<125,1.41,1.47,0,0,1.41,1.45,N
I,<125,1.27,1.47,0,0,1.27,1.44,N
J,<125,3.13,3.39,0,0,3.13,3.26,N
J,<125,3.53,3.81,0,0,3.53,3.61,N
J,<125,3.35,3.57,0,0,3.35,3.41,N
J,<125,3.31,3.53,0,0,3.31,3.38,N
J,<125,3.16,3.46,0,0,3.16,3.28,N
K,<125,2.23,2.51,0.168,0.11,2.062,2.31,P
K,<125,2.62,2.48,0.16,0.1,2.46,2.37,P
K,<125,2.51,2.55,0.176,0.13,2.334,2.45,P
K,<125,2.43,2.66,0.169,0.06,2.261,2.56,P
K,<125,2.73,2.54,0.176,0.1,2.554,2.4,P
L,<125,2.83,3.22,0.469,0.56,2.361,2.7,P
L,<125,2.62,3.27,0.348,0.55,2.272,2.75,P
L,<125,3.33,3.11,0.39,0.61,2.94,2.59,P
L,<125,3.2,3.07,0.576,0.6,2.624,2.58,P
L,<125,2.93,2.95,0.367,0.49,2.563,2.5,P
A,<2000,3.93,4.205225,0.623,0.55770705,3.307,3.176075,P
