Site,Procedure,Coarse_fraction,n,mean,sd,se,ymax,ymin,y_pos,class
A,P0,plant,5,0.218,0.066858059,0.029899833,0.247899833,0.188100167,1.348,high
A,P0,rock,5,1.13,0.340954542,0.152479507,1.282479507,0.977520493,1.13,high
A,P1,plant,5,0.258,0.096540147,0.043174066,0.301174066,0.214825934,0.58,high
A,P1,rock,5,0.322,0.322753776,0.144339877,0.466339877,0.177660123,0.322,high
A,P2,plant,5,0.166,0.075033326,0.033555923,0.199555923,0.132444077,1.972,high
A,P2,rock,5,1.806,1.217304399,0.544395077,2.350395077,1.261604923,1.806,high
A,P3,plant,5,0.118,0.071902712,0.03215587,0.15015587,0.08584413,0.448,high
A,P3,rock,5,0.33,0.56302753,0.251793566,0.581793566,0.078206434,0.33,high
B,P0,plant,5,0.346,0.086775573,0.038807216,0.384807216,0.307192784,0.654,low
B,P0,rock,5,0.308,0.299115362,0.133768457,0.441768457,0.174231543,0.308,low
B,P1,plant,5,0.336,0.103585713,0.046324939,0.382324939,0.289675061,0.546,low
B,P1,rock,5,0.21,0.289309523,0.129383152,0.339383152,0.080616848,0.21,low
B,P2,plant,5,0.34,0.244233495,0.109224539,0.449224539,0.230775461,0.45,low
B,P2,rock,5,0.11,0.139463257,0.062369865,0.172369865,0.047630135,0.11,low
B,P3,plant,5,0.116,0.093166518,0.041665333,0.157665333,0.074334667,0.116,low
B,P3,rock,5,0,0,0,0,0,0,low
C,P0,plant,5,0.308,0.110317723,0.049335586,0.357335586,0.258664414,5.034,high
C,P0,rock,5,4.726,1.307834087,0.584881185,5.310881185,4.141118815,4.726,high
C,P1,plant,5,0.284,0.15962456,0.071386273,0.355386273,0.212613727,2.312,high
C,P1,rock,5,2.028,1.003827674,0.448925384,2.476925384,1.579074616,2.028,high
C,P2,plant,5,0.15,0.092195445,0.041231056,0.191231056,0.108768944,5.786,high
C,P2,rock,5,5.636,1.182679162,0.5289102,6.1649102,5.1070898,5.636,high
C,P3,plant,5,0.062,0.035637059,0.015937377,0.077937377,0.046062623,2.346,high
C,P3,rock,5,2.284,2.813668424,1.258310772,3.542310772,1.025689228,2.284,high
D,P0,plant,5,0.042,0.019235384,0.008602325,0.050602325,0.033397675,0.168,low
